"Handle","Title","Vendor","Product Category","Product Type","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Clothing features (product.metafields.shopify.clothing-features)","Target gender (product.metafields.shopify.target-gender)","Age group (product.metafields.shopify.age-group)"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","","","TRUE","Size","XS (4-6)","Color","Black","AMARA-TRS-BLK-XS","30.00","Black","Lace","","Female","Adult"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","","","TRUE","Size","S (6-8)","Color","Black","AMARA-TRS-BLK-S","30.00","Black","Lace","","Female","Adult"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","","","TRUE","Size","M (8-10)","Color","Black","AMARA-TRS-BLK-M","30.00","Black","Lace","","Female","Adult"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","","","TRUE","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L","30.00","Black","Lace","","Female","Adult"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","","","TRUE","Size","XL (12-14)","Color","Black","AMARA-TRS-BLK-XL","30.00","Black","Lace","","Female","Adult"
"the-amore-set-taupe","The amore corset set - taupe","Koko Bay","","","TRUE","Size","XS (4-6)","Color","Taupe","AMORE-CRST-TAU-XS","70.00","White","","Corset","Female","Adult"
"the-amore-set-taupe","The amore corset set - taupe","Koko Bay","","","TRUE","Size","S (6-8)","Color","Taupe","AMORE-CRST-TAU-S","70.00","White","","Corset","Female","Adult"
"the-amore-set-taupe","The amore corset set - taupe","Koko Bay","","","TRUE","Size","M (8-10)","Color","Taupe","AMORE-CRST-TAU-M","70.00","White","","Corset","Female","Adult"
"the-amore-set-taupe","The amore corset set - taupe","Koko Bay","","","TRUE","Size","L (10-12)","Color","Taupe","AMORE-CRST-TAU-L","70.00","White","","Corset","Female","Adult"
"the-amore-set-taupe","The amore corset set - taupe","Koko Bay","","","TRUE","Size","XL (12-14)","Color","Taupe","AMORE-CRST-TAU-XL","70.00","White","","Corset","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","4","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-4","22.00","Green","","","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","6","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-6","22.00","Green","","","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","8","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-8","22.00","Green","","","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","10","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-10","22.00","Green","","","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","12","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-12","22.00","Green","","","Female","Adult"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Koko Bay","","","TRUE","Size","14","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-14","22.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","4","Color","Khaki","BEADED-BIK-KHA-4","24.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","6","Color","Khaki","BEADED-BIK-KHA-6","24.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","8","Color","Khaki","BEADED-BIK-KHA-8","24.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","10","Color","Khaki","BEADED-BIK-KHA-10","24.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","12","Color","Khaki","BEADED-BIK-KHA-12","24.00","Green","","","Female","Adult"
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Koko Bay","","","TRUE","Size","14","Color","Khaki","BEADED-BIK-KHA-14","24.00","Green","","","Female","Adult"
